Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
32202,ADAMS PARK,134,6,"(-79.1447873015202,43.7924791844875)",Public
32203,AGINCOURT PARK,300,9,"(-79.2751862118817,43.7877827155571)",Public
32524,ALBION ARENA - Building Grounds,118,10,"(-79.5818486224219,43.7394116555141)",Public
32204,ALLAN A. LAMPORT STADIUM PARK,360,3,"(-79.4231327178795,43.6381423188339)",Public
32205,ALLAN GARDENS,6,2,"(-79.3748943065984,43.6615560937226)",Public
32571,ALNESS YARD,84,1,"(-79.4715200921448,43.7708434030403)",Staff
32572,ALNESS YARD,38,,"(-79.4710779813655,43.7704792397157)",Staff
32207,AMESBURY PARK,131,6,"(-79.4867933724,43.7052204380353)",Public
32206,AMESBURY PARK,85,6,"(-79.4814480057931,43.707395527417)",Public
32208,AMOS WAITES PARK,27,1,"(-79.4885936194786,43.6134565620656)",Public
32209,ANCASTER PARK,12,2,"(-79.4656049290217,43.7324055708181)",Public
32532,ANGELA JAMES ARENA - Building Grounds,66,3,"(-79.3284942696053,43.7130686133737)",Public
44842,ANNETTE COMMUNITY RECREATION CENTRE - Building Grounds,20,1,"(-79.4739815870084,43.6608647818785)",Public
32573,ANTIBES COMMUNITY CENTRE - Building Grounds,45,3,"(-79.4470885304013,43.7807886314509)",Public
32525,ARMOUR HEIGHTS COMMUNITY CENTRE - Building Grounds,48,2,"(-79.4221847486806,43.7389865977948)",Public
32210,ASHBRIDGES BAY PARK,230,3,"(-79.3114572714395,43.6598464035534)",Public
32211,BALMY BEACH PARK,32,1,"(-79.2861626304491,43.6704372734058)",Members
32212,BANBURY PARK,98,3,"(-79.3691582565531,43.7430039252142)",Public
32526,BARBARA FRUM COMMUNITY CENTRE - Building Grounds,3,3,"(-79.4319270531753,43.7208388242785)",Public
32213,BAYCREST PARK,81,4,"(-79.4433493082291,43.7292305304295)",Public
32214,BAYVIEW ARENA PARK,63,2,"(-79.3932770065695,43.788275139062)",Public
45262,BAYVIEW VILLAGE PARK,29,,"(-79.3890201271685,43.7727196036147)",Public
32215,BELLBURY PARK,23,2,"(-79.3606854206441,43.7846056640747)",Public
32522,BENTWORTH YARD,24,1,"(-79.4656252172832,43.7210952698518)",Staff
32577,BERNER TRAIL PARK,12,1,"(-79.2204861007748,43.8020917130779)",Public
32562,BIRCH PARK,20,1,"(-79.5268899254658,43.5920488743426)",Public
32216,BIRCH PARK,33,,"(-79.5274074910713,43.5924266355387)",Public
32217,BIRCHMOUNT PARK,70,3,"(-79.262371447821,43.695769065706)",Public
32218,BIRCHMOUNT PARK,333,2,"(-79.261751022436,43.6946409377252)",Public
32574,BIRCHMOUNT YARD,20,2,"(-79.2927450610288,43.7702639284733)",Staff
32575,BIRCHMOUNT YARD,43,,"(-79.2920805945903,43.7703869773324)",Staff
32527,BIRKDALE COMMUNITY CENTRE - Building Grounds,24,6,"(-79.264124172216,43.7686148920218)",Public
32529,BIRKDALE COMMUNITY CENTRE - Building Grounds,40,1,"(-79.2636869756717,43.7685310023984)",Public
32528,BIRKDALE COMMUNITY CENTRE - Building Grounds,17,1,"(-79.2644779925906,43.7689887705999)",Public
49502,BIRKDALE RAVINE,32,1,"(-79.2592957983296,43.7614654592802)",Public
32219,BLANTYRE PARK,90,2,"(-79.2805077480891,43.6823443917473)",Public
49503,BLUEHAVEN PARK,,,"(-79.5563455530346,43.7449479239744)",Public
44903,BLUFFER'S PARK,160,6,"(-79.2282446806026,43.7132341954173)",Public
32223,BLUFFER'S PARK,47,,"(-79.2343905091928,43.7123698910866)",Staff
32222,BLUFFER'S PARK,180,3,"(-79.2322789279425,43.7059156577948)",Public
32221,BLUFFER'S PARK,144,3,"(-79.2344999827331,43.707173000505)",Public
32220,BLUFFER'S PARK,243,5,"(-79.2358838106595,43.7066736123528)",Public
32224,BOND PARK,162,6,"(-79.3509595367013,43.7452701062491)",Public
44683,BOOTH YARD,,,"(-79.3431626237552,43.6557206841609)",Staff
